feature,importance
cat__sku_SKU99,1.8450394077775726e-05
cat__sku_SKU55,1.766981384117155e-05
cat__sku_SKU51,1.3145866284739608e-05
cat__sku_SKU24,1.1647189621179815e-05
cat__sku_SKU43,1.1499917248246303e-05
cat__sku_SKU6,1.0419835463421153e-05
cat__sku_SKU67,9.448475424030996e-06
cat__sku_SKU74,8.583207400834343e-06
cat__sku_SKU29,7.516771808718361e-06
cat__sku_SKU3,7.370895649745614e-06
cat__sku_SKU72,6.689673445310919e-06
cat__sku_SKU49,5.8007060812966535e-06
cat__sku_SKU71,4.229020172657531e-06
cat__sku_SKU98,3.899895121943592e-06
cat__sku_SKU69,2.547243880598254e-06
cat__sku_SKU23,2.4819735288599034e-06
cat__sku_SKU7,1.99933272911151e-06
cat__sku_SKU46,1.0722825711940888e-06
cat__sku_SKU64,8.947145090670513e-07
