material_description,material_type,eoq_units,reorder_point_units,avg_inventory_units,avg_lead_time_days,inventory_turnover,avg_inventory_value,carrying_cost,currency_code
Adaptation by Odette Cab Svg,raw_material,0.0,0.0,5.833333333333333,10.666666666666666,,874.825,174.965,USD
Adaption by Odette Chard,raw_material,0.0,0.0,23.0,5.0,,735.77,147.154,USD
Adelsheim Bryan Creek Pnt Nr,raw_material,0.0,0.0,6.0,9.0,,419.93999999999994,83.988,USD
Adelsheim Caitlins Rsv Chard,raw_material,0.0,0.0,8.25,5.0,,659.835,131.967,USD
Adelsheim Chard Willmete Vly,raw_material,0.0,0.0,8.625,7.75,,793.155,158.631,USD
Adelsheim Elizbth RSV Pnt Nr,raw_material,0.0,0.0,5.166666666666667,7.666666666666667,,725.845,145.169,USD
Adelsheim Pnt Gris Ore,raw_material,0.0,0.0,13.8,8.2,,1103.31,220.662,USD
Adelsheim Pnt Nr Ore,raw_material,0.0,0.0,10.321428571428571,8.285714285714286,,3466.555,693.311,USD
Adissat Cotes du Rhone,raw_material,0.0,0.0,25.0,8.0,,374.75,74.95,USD
Adissat Lirac,raw_material,0.0,0.0,14.5,10.0,,1449.2749999999999,289.85499999999996,USD
Admiral Nelson Spiced Rum,raw_material,0.0,0.0,9.0,7.8,,2518.2000000000003,503.64000000000004,USD
After Shock Hot & Cool Cinmn,raw_material,0.0,0.0,8.75,7.75,,755.3,151.06,USD
Agave Loco Pepper Cured Teq,raw_material,0.0,0.0,3.0833333333333335,7.333333333333333,,453.565,90.713,USD
Agave Underground Tequila,raw_material,0.0,0.0,5.130434782608695,7.608695652173913,,4174.82,834.964,USD
Agavero Tequila Liqueur,raw_material,0.0,0.0,2.0,8.0,,51.98,10.396,USD
Agiorgitiko Argilos Nemea,raw_material,0.0,0.0,6.0,8.0,,89.94,17.988,USD
Agua de Piedra Malbec Selccn,raw_material,0.0,0.0,10.6,7.4,,632.97,126.59400000000001,USD
Aguardiente Cristal Liqueur,raw_material,0.0,0.0,2.5,8.0,,32.475,6.495000000000001,USD
Aichenberg Gruner Veltliner,raw_material,0.0,0.0,9.0,7.0,,80.91,16.182,USD
Aizpurua B,raw_material,0.0,0.0,5.25,8.75,,377.78999999999996,75.55799999999999,USD
Alain Lorieux Chinon Express,raw_material,0.0,0.0,1.5,11.0,,26.985,5.397,USD
Alamos Red Mendoza,raw_material,0.0,0.0,10.166666666666666,7.666666666666667,,304.69500000000005,60.93900000000001,USD
Alamos Ridge Cab Svgn Mendza,raw_material,0.0,0.0,15.25,8.6,,1523.475,304.69500000000005,USD
Alamos Ridge Chard Mendoza,raw_material,0.0,0.0,11.333333333333334,7.916666666666667,,1358.6399999999999,271.728,USD
Alamos Ridge Malbec Mendoza,raw_material,0.0,0.0,22.5,7.5,,404.55,80.91000000000001,USD
Alamos Slcn Malbec Mendoza,raw_material,0.0,0.0,9.357142857142858,7.571428571428571,,1047.345,209.46900000000002,USD
Alamos Torrontes,raw_material,0.0,0.0,7.666666666666667,8.0,,459.54,91.90800000000002,USD
Alate Kosher Wine,raw_material,0.0,0.0,9.5,8.0,,1851.265,370.25300000000004,USD
Albatros Malbec Cahors,raw_material,0.0,0.0,11.9,8.4,,1188.81,237.762,USD
Albola Chianti,raw_material,0.0,0.0,9.875,7.5,,462.605,92.52100000000002,USD
Albola Pinot Grigio,raw_material,0.0,0.0,12.307692307692308,8.384615384615385,,1758.4,351.68,USD
Alderbrook Pnt Nr RRV,raw_material,0.0,0.0,9.0,11.0,,161.91,32.382,USD
Aldial Naia Rueda White,raw_material,0.0,0.0,7.6875,8.375,,798.885,159.77700000000002,USD
Alessio Bianco Vermouth,raw_material,0.0,0.0,3.0,12.0,,83.97,16.794,USD
Alessio Chinato Vermouth,raw_material,0.0,0.0,3.0,12.0,,95.97,19.194,USD
Alexana Pnt Nr Willamette,raw_material,0.0,0.0,7.5,9.0,,172.42499999999998,34.485,USD
Alexana Revana Vyd Pnt Nr,raw_material,0.0,0.0,7.230769230769231,8.692307692307692,,4041.0600000000004,808.2120000000001,USD
Alexana Willamette Chard,raw_material,0.0,0.0,12.0,9.0,,359.88,71.976,USD
Alexander Vly Vyd Cab Svgn,raw_material,0.0,0.0,9.0,8.5,,2014.74,402.948,USD
Alexander Vly Vyds Cab Svgn,raw_material,0.0,0.0,7.0,7.0,,69.93,13.986000000000002,USD
Alexander Vly Vyds Gewurz,raw_material,0.0,0.0,4.2,7.0,,209.79,41.958,USD
Alexander Vly Vyds Merlot,raw_material,0.0,0.0,4.615384615384615,7.769230769230769,,1016.9,203.38000000000002,USD
Alexander Vly Vyds Sin Znfdl,raw_material,0.0,0.0,1.5,10.5,,116.97,23.394000000000002,USD
Alexander Vly Vyds Syrah,raw_material,0.0,0.0,5.0,9.0,,94.94999999999999,18.99,USD
Alexanders Crown Cab Svgn,raw_material,0.0,0.0,6.2,8.2,,2262.6899999999996,452.53799999999995,USD
Alfred Gratien Champagne Bru,raw_material,0.0,0.0,7.454545454545454,9.636363636363637,,3771.18,754.2360000000001,USD
Alhambra Red Blend,raw_material,0.0,0.0,4.166666666666667,8.0,,174.875,34.97500000000001,USD
Alias Cab Svgn,raw_material,0.0,0.0,8.25,8.5,,181.33499999999998,36.266999999999996,USD
Alias Chard,raw_material,0.0,0.0,10.5,7.0,,115.395,23.079,USD
Alias Pnt Nr,raw_material,0.0,0.0,8.5,8.5,,186.82999999999998,37.366,USD
Alice White Chard Ausl,raw_material,0.0,0.0,13.0,8.25,,649.48,129.89600000000002,USD
Alice White Lexia Muscato,raw_material,0.0,0.0,12.0,10.0,,89.88,17.976,USD
Alice White Shiraz Ausl,raw_material,0.0,0.0,8.0,7.0,,111.92,22.384,USD
Alisios Tempranillo Touriga,raw_material,0.0,0.0,5.333333333333333,7.0,,159.84,31.968000000000004,USD
Allan Scott Svgn Bl,raw_material,0.0,0.0,6.0,8.0,,71.94,14.388,USD
Allegrini Amarone Clsc,raw_material,0.0,0.0,5.625,7.625,,3599.5499999999997,719.91,USD
Allegrini La Grola Veronese,raw_material,0.0,0.0,4.25,8.5,,254.915,50.983,USD
Allegrini La Poja,raw_material,0.0,0.0,5.5,8.666666666666666,,2969.6699999999996,593.934,USD
Allegrini Palazzo Della Tor,raw_material,0.0,0.0,8.4,7.733333333333333,,2518.74,503.748,USD
Allegrini Solosole Vermentin,raw_material,0.0,0.0,4.75,7.5,,569.7149999999999,113.943,USD
Allegrini Sondraia,raw_material,0.0,0.0,4.5,8.5,,404.90999999999997,80.982,USD
Allegrini Valpolicella Clsc,raw_material,0.0,0.0,6.142857142857143,8.285714285714286,,681.07,136.214,USD
Allen's Amaretto Liqueur,raw_material,0.0,0.0,5.0,8.0,,29.950000000000003,5.990000000000001,USD
Allen's Ginger Brandy,raw_material,0.0,0.0,3.0,12.0,,46.47,9.294,USD
Allen's Melon Liqueur,raw_material,0.0,0.0,5.5,8.0,,32.945,6.589,USD
Allen's Peach Schnapps,raw_material,0.0,0.0,5.5,8.0,,32.945,6.589,USD
Allen's Pomegranate Liqueur,raw_material,0.0,0.0,1.5,10.0,,8.985,1.797,USD
Allen's Sour Apple Liqueur,raw_material,0.0,0.0,6.0,10.0,,35.94,7.188,USD
Allens Coffee Brandy,raw_material,0.0,0.0,7.863636363636363,8.454545454545455,,1288.635,257.72700000000003,USD
Allens Triple Sec,raw_material,0.0,0.0,4.5,8.5,,26.910000000000004,5.382000000000001,USD
Almaden B/B Wh Znfdl Cal,raw_material,0.0,0.0,6.214285714285714,8.142857142857142,,1304.13,260.826,USD
Almaden Burgundy B/B,raw_material,0.0,0.0,6.55,8.0,,981.845,196.36900000000003,USD
Almaden Cab Svgn Cal B/B,raw_material,0.0,0.0,6.125,8.0,,783.51,156.702,USD
Almaden Chablis B/B,raw_material,0.0,0.0,5.8076923076923075,7.769230769230769,,1131.7450000000001,226.34900000000002,USD
Almaden Chard Cal,raw_material,0.0,0.0,5.25,8.5,,283.185,56.637,USD
Almaden Chard Cal B/B,raw_material,0.0,0.0,3.1666666666666665,7.666666666666667,,151.905,30.381000000000004,USD
Almaden Merlot Cal B/B,raw_material,0.0,0.0,5.0,7.166666666666667,,479.7,95.94,USD
Almaden Moscato,raw_material,0.0,0.0,5.5,8.0,,98.945,19.789,USD
Almaden Moscato Rhine,raw_material,0.0,0.0,3.5,7.0,,31.465,6.293,USD
Almaden Mt Rhine Calif B/B,raw_material,0.0,0.0,4.9,7.2,,367.255,73.45100000000001,USD
Almaden Pnt Grigio B/B,raw_material,0.0,0.0,4.166666666666667,10.0,,199.875,39.97500000000001,USD
Almaden Wh Znfdl Cal,raw_material,0.0,0.0,4.0,7.5,,71.92,14.384,USD
Almaviva Rothschild & CyToro,raw_material,0.0,0.0,2.25,3.25,,2699.73,539.946,USD
Alphonse Dolly Pnt Nr,raw_material,0.0,0.0,10.5,8.0,,146.895,29.379000000000005,USD
Alphonse Dolly Pouilly-Fume,raw_material,0.0,0.0,8.375,7.25,,742.665,148.53300000000002,USD
Alphonse Dolly Sancerre Cvee,raw_material,0.0,0.0,8.875,7.6875,,3023.58,604.716,USD
Alta Classe Mntplcno Abruzzo,raw_material,0.0,0.0,2.5,8.0,,19.975,3.9950000000000006,USD
Altadonna Nero D'Avola,raw_material,0.0,0.0,11.0,7.0,,153.89,30.778,USD
Altitude Project Cab Svgn,raw_material,0.0,0.0,6.5,8.0,,51.935,10.387,USD
Altitude Project Chard,raw_material,0.0,0.0,9.5,8.0,,75.905,15.181000000000001,USD
Alto Ego De Palmer Margaux,raw_material,0.0,0.0,3.5,7.0,,300.965,60.193,USD
Alto Moncayo Garnacha,raw_material,0.0,0.0,7.0,8.0,,1343.72,268.744,USD
Alto Moncayo Veraton Garnach,raw_material,0.0,0.0,8.61111111111111,6.888888888888889,,1704.225,340.84499999999997,USD
Altocedro Finca Tanos Malbec,raw_material,0.0,0.0,9.0,7.0,,152.91,30.582,USD
Altos del Cuco Red,raw_material,0.0,0.0,2.0,9.5,,19.96,3.9920000000000004,USD
Alverdi Pnt Grigio,raw_material,0.0,0.0,10.944444444444445,8.333333333333334,,885.515,177.103,USD
Alverez de Toledo Godello,raw_material,0.0,0.0,6.571428571428571,8.142857142857142,,501.54,100.308,USD
Alverez de Toledo Mencia Rbl,raw_material,0.0,0.0,5.5,7.5,,219.78,43.956,USD
Amador Double Barrel Bourbon,raw_material,0.0,0.0,2.7419354838709675,6.806451612903226,,3399.15,679.83,USD
Amapola Creek Cab Svgn 10,raw_material,0.0,0.0,3.5,9.0,,395.465,79.093,USD
Amapola Creek Cab Svgn 12,raw_material,0.0,0.0,2.25,10.5,,265.955,53.191,USD
Amapola Creek Cab Svgn VV,raw_material,0.0,0.0,3.0,9.0,,338.96999999999997,67.794,USD
Amaras Cupreata Mezcal,raw_material,0.0,0.0,2.9444444444444446,10.36111111111111,,5828.9400000000005,1165.788,USD
Amaretto DiSaronno,raw_material,0.0,0.0,19.8,8.0,,4210.98,842.196,USD
Amaretto DiSaronno Summer Pk,raw_material,0.0,0.0,0.9,8.955555555555556,,809.5949999999999,161.91899999999998,USD
Amaretto Villa Vittoria Liq,raw_material,0.0,0.0,6.666666666666667,8.972222222222221,,4077.5999999999995,815.52,USD
Amaretto di Amore,raw_material,0.0,0.0,6.2727272727272725,7.090909090909091,,891.3100000000001,178.262,USD
Amaretto di Amore VAP,raw_material,0.0,0.0,5.0701754385964914,7.508771929824562,,2887.11,577.422,USD
Amaro Montenegro Liqueur,raw_material,0.0,0.0,4.666666666666667,8.666666666666666,,338.85999999999996,67.772,USD
Amarula Cream Liqueur,raw_material,0.0,0.0,10.766666666666667,8.4,,3277.8849999999998,655.577,USD
Amayna Chard,raw_material,0.0,0.0,5.0,4.0,,129.95,25.99,USD
Ame Neyers Cab Svgn Napa,raw_material,0.0,0.0,7.75,7.5,,1239.8449999999998,247.969,USD
American Harvest Organic,raw_material,0.0,0.0,1.6666666666666667,6.0,,84.94999999999999,16.99,USD
American Thread Pnt Nr,raw_material,0.0,0.0,11.454545454545455,7.2727272727272725,,1762.74,352.548,USD
Americano Petite Syrah,raw_material,0.0,0.0,8.0,8.0,,287.84,57.568,USD
Amrut Fusion Single Malt,raw_material,0.0,0.0,0.0,5.5,,0.0,0.0,USD
AnCnoc 12 Yr Old Scotch,raw_material,0.0,0.0,5.136363636363637,7.636363636363637,,4292.87,858.5740000000001,USD
Anakota 11 Helena Montana CS,raw_material,0.0,0.0,2.5,13.0,,199.975,39.995000000000005,USD
Anakota Cab Svgn Helena Dako,raw_material,0.0,0.0,0.5,7.5,,79.99,15.998,USD
Anastasi Estates Messinia Rd,raw_material,0.0,0.0,15.0,12.0,,179.85,35.97,USD
Ancho Reyes Chile Liqueur,raw_material,0.0,0.0,2.3333333333333335,8.666666666666666,,167.93,33.586,USD
Anderra Cab Svgn,raw_material,0.0,0.0,10.653846153846153,8.23076923076923,,1245.115,249.023,USD
Anderra Svgn Bl,raw_material,0.0,0.0,9.857142857142858,7.142857142857143,,620.31,124.062,USD
Andre Bjls Vlgs La Treille,raw_material,0.0,0.0,5.764705882352941,7.235294117647059,,1273.02,254.604,USD
Andre Bourgogne Pnt Nr RSV,raw_material,0.0,0.0,10.833333333333334,6.666666666666667,,1559.025,311.805,USD
Andre Brut,raw_material,0.0,0.0,7.181818181818182,9.363636363636363,,433.71000000000004,86.742,USD
Andre Cold Duck,raw_material,0.0,0.0,12.083333333333334,8.333333333333334,,398.025,79.605,USD
Andre Extra Dry,raw_material,0.0,0.0,36.0,8.0,,197.64000000000001,39.528000000000006,USD
Andre Moscato,raw_material,0.0,0.0,8.5,7.0,,46.665,9.333,USD
Andre Pink,raw_material,0.0,0.0,15.6,8.2,,428.22,85.644,USD
Andre Pink Moscato,raw_material,0.0,0.0,6.0,10.0,,32.94,6.588,USD
Andre Spumante Calif,raw_material,0.0,0.0,11.5,9.0,,63.135000000000005,12.627000000000002,USD
AnestasiA Vodka,raw_material,0.0,0.0,2.75,5.5,,203.44500000000002,40.68900000000001,USD
Anew Rose,raw_material,0.0,0.0,5.261904761904762,8.619047619047619,,1103.895,220.77900000000002,USD
Anew Rsl,raw_material,0.0,0.0,11.25,7.75,,899.1,179.82,USD
Angela Yamhill-Carlton Pnt N,raw_material,0.0,0.0,0.875,7.25,,129.465,25.893,USD
Angeline Cab Svgn California,raw_material,0.0,0.0,3.25,8.0,,37.635000000000005,7.527,USD
